"ID","Código interno","Puesto","Empresa","Fecha","Ubicación","Salario","Tipo de trabajo","Turno","Resumen","Atributos"
"20","job_66f232b7a9185b17","PROFESORES/AS PRUEBAS DE NIVEL","Synergie","Posted\nRecién publicado","Barcelona, Barcelona provincia","","","Turno de mañana","Si eres profesor/a, monitor/a o estás estudiando educación y además, tienes unos días libres en mayo y junio, ¡sigue leyendo!","Incorporación inmediata;"
"21","job_6c7a2a5b4fad2ac4","EARLY CHILDHOOD TEACHER ASSISTANT WITH GERMAN IN MADRID SPAIN","Training Experience","Posted\nRecién publicado","Madrid, Madrid provincia","","Contrato en prácticas","","A person with a teaching vocation who likes to work with children at an early age.\nMotivating and stimulating children's learning abilities, often encouraging…",""
"22","job_253120daa4c41150","PROFESOR/A DE ALEMÁN","","Posted\nRecién publicado","Elgoibar, Guipúzcoa provincia","14 € por hora","Contrato indefinido","De lunes a viernes\n+1","Nivel de alemán C2, posibilidad de desplazarse en coche, habilidad para trabajar en equipo, persona resolutiva, responsable, puntual, organizada, ordenada y…",""
"23","job_2513d4d7e4e8ee15","DOCENTE SECUNDARIA GEOGRAFÍA E HISTORIA","Congregacion de los Legionarios de Cristo","Posted\nHoy","Madrid, Madrid provincia","","Jornada completa\n+1","De lunes a viernes","Licenciatura o Grado en Historia, Humanidades o similares.","Máster;Grado;"
"24","job_df558d6487ee6dc6","Content Specialist","Matific","Posted\nHoy","Teletrabajo","","Jornada completa\n+1","","You will be managing the development of materials from initial scoping stages, through drafting and narrative design, and finally in implementation through our…","Teletrabajo;"
"25","job_eb84627285d150ce","Profesor/a Colaborador/a Anatomía (media jornada)","CEU","Posted\nHoy","Madrid, Madrid provincia","","Media jornada","Turno de mañana","Licenciatura/Grado en Medicina, Farmacia, Biología, Fisioterapia, Odontología.\nNivel alto de inglés (C1) ya que parte de la docencia se imparte en este idioma.","Grado;"
"26","job_7adc918f8f762ae6","PROFESOR@ REFUERZO TARDES 1º ESO. SUSTITUCIÓN. COLMENAR VIEJO.","IDRA SOCIOEDUCATIVO S.L.","Posted\nHoy","28770 Colmenar Viejo, Madrid provincia","","Media jornada","Turno de tarde","ALUMNAS 1º Y ESO.",""
"27","job_44afa6f894a2982e","Profesor "Estadística, elasticidad y resistencia de materiales"","Universidad Antonio de Nebrija","Posted\nHoy","Madrid, Madrid provincia","","","","Seleccionamos Profesor para impartir "Estadística, elasticidad y resistencia de materiales". Sus principales funciones serán: Impartir docencia. Se requiere…",""
"28","job_5d26bf17b00ede8b","Docentes en Mecatrónica Industrial","Formación Universitaria","Posted\nHoy","Teletrabajo","","Jornada completa\n+2","","Se valorará Master o Doctorado en el área y el manejo de campus o plataformas virutales.","Teletrabajo;Doctorado;Máster;FP Grado Superior;"
"29","job_d3b3985ecde72c94","Profesor "Procesos Industriales"","Universidad Antonio de Nebrija","Posted\nHoy","Madrid, Madrid provincia","","","","Seleccionamos profesor para impartir la asignatura de Procesos Industriales Sus principales funciones serán: Impartir asginatura "Procesos Industriales".…","Grado;"
"30","job_4986f9f2ce7cfa5c","Profesor/a Asociado/a Farmacología","CEU","Posted\nHoy","Boadilla del Monte, Madrid provincia","","Media jornada","","Valorable nivel alto de inglés (C1).\nExperiencia docente en asignaturas relacionas con Atención Farmacéutica, Farmacia clínica, Farmacología y Farmacoterapia.","Doctorado;Grado;"
"31","job_555905575e59d72d","Profesor/a Colaborador/a Doctor/a Farmacología (media jornada)","CEU","Posted\nHoy","Boadilla del Monte, Madrid provincia","","Media jornada","","Nivel alto de inglés (C1).\nCapacidad para generar impacto y motivar a los estudiantes.\nHabilidades pedagógicas (uso de un amplio abanico de medios didácticos y…","Doctorado;Grado;"
"32","job_6c239fd730a4b1a5","FORMADORES - Competencias digitales- CASTELLÓN","Dicampus","Posted\nHoy","Castelló de la Plana, Castellón provincia","","Media jornada","Turno de mañana","Descripción: Desde Dicampus Formación buscamos un FORMADORES para impartir la diversos talleres de competencias digitales en CASTELLON Fecha de inicio: 2/6…","Grado;"
"33","job_23a4d8a70df60ce0","Key Stage 1 teacher for Pre Prep School","Runnymede College","Posted\nHoy","Madrid, Madrid provincia","","Contrato indefinido","","They should be enthusiastic and have high expectations of all pupils.\nBe an excellent classroom practitioner.\nHave experience of teaching the KS1 curriculum.",""
